"filename", "language", "JSON", "CSS", "Markdown", "XML", "JavaScript JSX", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Downloads\after admin\Ecommerce\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\gamer\Downloads\after admin\Ecommerce\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\gamer\Downloads\after admin\Ecommerce\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\gamer\Downloads\after admin\Ecommerce\package-lock.json", "JSON", 5349, 0, 0, 0, 0, 0, 0, 0, 1, 5350
"c:\Users\gamer\Downloads\after admin\Ecommerce\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\gamer\Downloads\after admin\Ecommerce\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\App.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 6, 112
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\AdminOrderItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 7, 90
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\AdminProductItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 7, 102
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\AdminUserItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\SearchItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 7, 118
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\SearchOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 5, 76
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Admin\SearchUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 5, 72
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Carousel\Carousel.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Carousel\Carousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\CartBody\CartBody.css", "CSS", 0, 58, 0, 0, 0, 0, 0, 0, 2, 60
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\CartBody\CartBody.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 16, 151
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\CartItem\CartItem.css", "CSS", 0, 78, 0, 0, 0, 0, 0, 0, 2, 80
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\CartItem\CartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 6, 100
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Data\CartService.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Data\ImageService.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Data\OrderService.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
